"id","name","parent_id/id","hr_product"
"product.product_category_all","CMO",,"FALSE"
"hr_expense.cat_expense","Expenses","product.product_category_all","FALSE"
"base.product_category_expense_product","Expense Products","hr_expense.cat_expense","FALSE"
"base.product_category_hr_product","HR Products","hr_expense.cat_expense","TRUE"
"base.product_category_fixed_asset","Fixed Assets","product.product_category_all","FALSE"
"base.product_category_office_accessories","เครื่องใช้สำนักงาน","base.product_category_fixed_asset","FALSE"
"base.product_category_building_construction","อาคารและส่วนปรับปรุงใหม่","base.product_category_fixed_asset","FALSE"
"base.product_category_purchase","Purchase","product.product_category_all","FALSE"
"base.product_category_facility","Facility","base.product_category_purchase","FALSE"
"base.product_category_project_cost","Project Cost","base.product_category_purchase","FALSE"
"base.product_category_stationary","Stationary","base.product_category_purchase","FALSE"
"product.product_category_1","Sale","product.product_category_all","FALSE"
"base.product_category_homepro","Homepro","product.product_category_1","FALSE"
"base.product_category_other_income","Other Income","product.product_category_1","FALSE"
"base.product_category_other_project","Project","product.product_category_1","FALSE"
