"id","factor_inv","factor","rounding","uom_type","name","category_id/id"
"base.product_uom_1",1,1,"0.001","smaller","กระป๋อง","product.product_uom_categ_unit"
"base.product_uom_2",1,1,"0.001","smaller","แผ่น","product.product_uom_categ_unit"
"base.product_uom_3",1,1,"0.001","smaller","กล่อง","product.product_uom_categ_unit"
"base.product_uom_4",1,1,"0.001","smaller","ก้อน","product.product_uom_categ_unit"
"base.product_uom_5",1,1,"0.001","smaller","แกลลอน","product.product_uom_categ_unit"
"base.product_uom_6",1,1,"0.001","smaller","ขวด","product.product_uom_categ_unit"
"base.product_uom_7",1,1,"0.001","smaller","ครั้ง","product.product_uom_categ_unit"
"base.product_uom_8",1,1,"0.001","smaller","ชิ้น","product.product_uom_categ_unit"
"base.product_uom_9",1,1,"0.001","smaller","ชุด","product.product_uom_categ_unit"
"base.product_uom_10",1,1,"0.001","smaller","ตัว","product.product_uom_categ_unit"
"base.product_uom_11",1,1,"0.001","smaller","ถัง","product.product_uom_categ_unit"
"base.product_uom_12",1,1,"0.001","smaller","ถุง","product.product_uom_categ_unit"
"base.product_uom_13",1,1,"0.001","smaller","ใบ","product.product_uom_categ_unit"
"base.product_uom_14",1,1,"0.001","smaller","แพค","product.product_uom_categ_unit"
"base.product_uom_15",1,1,"0.001","smaller","ม้วน","product.product_uom_categ_unit"
"base.product_uom_16",1,1,"0.001","smaller","รีม","product.product_uom_categ_unit"
